HourUTC,HourDK,PriceArea,TotalLoad,Biomass,FossilGas,FossilHardCoal,FossilOil,HydroPower,OtherRenewable,SolarPower,Waste,OnshoreWindPower,OffshoreWindPower,ExchangeContinent,ExchangeGreatBelt,ExchangeNordicCountries
2022-01-03T20:00:00+00:00,2022-01-03T21:00:00,DK2,1675.57,485.25,66.01,103.52,28.56,,,0,82.3,519.83,878.45,-583,538,-362
2022-01-03T21:00:00+00:00,2022-01-03T22:00:00,DK1,2487.68,351.98,232.17,620.96,11,2.09,3.15,0.82,92.03,1188.13,638.01,131,121,-797
2022-01-03T21:00:00+00:00,2022-01-03T22:00:00,DK2,1552.23,489.18,66.48,104.29,28.71,,,0,81.65,522.51,888.88,-582,-121,157
2022-01-03T22:00:00+00:00,2022-01-03T23:00:00,DK1,2320.61,292.37,227.41,630.14,11.04,2.04,3.15,0.82,91.67,1007.99,568.13,90,294,-801
2022-01-03T22:00:00+00:00,2022-01-03T23:00:00,DK2,1437.54,395.47,67.61,106.09,29.06,,,0,79.65,513.86,913.29,-584,-294,294
2022-01-03T23:00:00+00:00,2022-01-04T00:00:00,DK1,2223.07,274.3,184.14,654.7,10.82,2.01,2.09,0.82,91.86,822.54,506.06,259,234,-716
2022-01-03T23:00:00+00:00,2022-01-04T00:00:00,DK2,1353.68,283.75,61.87,96.77,27.26,,,0,81.86,455.69,894.81,-584,-234,350
2022-01-04T00:00:00+00:00,2022-01-04T01:00:00,DK1,2190.55,293.31,208.27,659.65,11.02,2.01,2.07,0.82,92.68,648.01,410.27,521,135,-709
2022-01-04T00:00:00+00:00,2022-01-04T01:00:00,DK2,1297.92,303.98,58.24,90.9,26.16,,,0,78.86,393.79,882.74,-584,-135,264
2022-01-04T01:00:00+00:00,2022-01-04T02:00:00,DK1,2154.18,329.15,197.38,670.34,11.01,2.01,2.07,0.82,91.94,571.2,327.75,247,478,-714
2022-01-04T01:00:00+00:00,2022-01-04T02:00:00,DK2,1274.37,330.91,59.01,92.21,26.42,,,0,73.32,312.87,863.56,-583,-478,643
2022-01-04T02:00:00+00:00,2022-01-04T03:00:00,DK1,2169.66,299.29,187.57,663.72,10.98,2.01,2.07,0.82,92.57,623.38,345.73,176,592,-770
